Fund,Fund ID,Fund Description,Department ID,Department,Short Title,Expense Line,Link to Website,Department Description,Control Officer,Appropriations 1995,Appropriations 1996,Appropriations 1997,Appropriations 1998,Appropriations 1999,Appropriations 2000,Appropriations 2001,Appropriations 2002,Appropriations 2003,Appropriations 2004,Appropriations 2005,Appropriations 2006,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Expenditures 1995,Expenditures 1996,Expenditures 1997,Expenditures 1998,Expenditures 1999,Expenditures 2000,Expenditures 2001,Expenditures 2002,Expenditures 2003,Expenditures 2004,Expenditures 2005,Expenditures 2006,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,8,Supervisor of Assessments,Supervisor of Assessments,Travel,,,Supervisor of Assessments,"2,114","3,000","4,000","4,000","6,000","6,000","7,000","6,000","2,981","6,000","1,600","6,000","6,295","8,000","5,290","3,246","3,672","6,000","2,114","2,260","2,596","2,016","2,344","1,501","2,965","2,683",976,"1,022","1,828",969,"3,282","2,954","5,290","3,246","3,672","4,731",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,8,Supervisor of Assessments,Supervisor of Assessments,Printing,,,Supervisor of Assessments,"18,571","13,123","17,670","18,000","18,000","17,000","16,000","17,000","17,000","17,000","17,000","16,000","16,000","14,678","13,747","16,237","17,368","20,000","18,571","4,147","10,939","12,074","11,101","11,152","11,703","9,860","12,968","13,287","12,449","14,892","15,541","14,678","13,747","16,237","14,359","9,727",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,8,Supervisor of Assessments,Supervisor of Assessments,Education & Training,,,Supervisor of Assessments,"1,304","3,000","3,021","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","2,910",42,630,"1,455",0,0,"1,304",959,"3,021","2,255","1,564",705,"2,122","1,301",587,974,30,"1,800",725,20,630,"1,455",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,8,Supervisor of Assessments,Supervisor of Assessments,Telephone,,,Supervisor of Assessments,"1,627","1,800","2,109","2,739","2,800","2,800","2,926","3,800","3,800","3,800","3,800","4,403","4,500","4,500","2,344","3,373","3,600","3,600","1,567","1,301","2,082","2,739","2,387","2,604","2,926","2,908","2,434","2,264","2,250","2,031","2,521","3,061","2,344","3,373","3,160","2,921",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,8,Supervisor of Assessments,Supervisor of Assessments,Miscellaneous,,,Supervisor of Assessments,0,"1,000",0,"6,761","2,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,491","1,182",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,8,Supervisor of Assessments,Supervisor of Assessments,Equipment,,,Supervisor of Assessments,0,0,0,0,0,"2,000","2,000","2,000","2,000","2,000","2,000","2,097","2,090","2,000",35,339,0,"2,000",0,0,0,0,0,"1,368",839,483,"1,548",810,"1,668","2,097","2,090",187,35,339,0,"1,848",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,8,Supervisor of Assessments,Supervisor of Assessments,Equipment Repair & Maintenance,,,Supervisor of Assessments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,941","2,993",0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,941","2,993",0,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,9,Audit,Audit,Cost of Audit,,,County Board Office,"21,500","18,000","18,000","18,000","18,000","18,000","18,000","18,000","19,100","25,574","22,030","23,180","22,033","22,033",0,0,0,0,"21,300","9,370","14,427","12,637","18,035","17,127","23,976","24,600","17,005","25,574","22,030","23,180","22,032","22,033",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,10,Cemetery,Cemetery,Grants to Cemeteries,,,County Board Office,"2,000","2,500","2,500","2,500","2,500","2,500","2,500","2,500","1,430","1,200","1,200","1,200","3,800","3,724",0,0,0,0,783,"1,000",350,900,300,900,600,600,600,600,600,800,"1,250","1,318",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,11,Capital Improvements,Capital Improvements,Capital Project Expense,,,County Board Office,"155,000","125,000","248,602","441,286","500,000","750,000","243,000","243,400","135,000","158,519","65,208","25,675","28,000","28,000","28,000","30,000","2,940","3,000","129,063","36,986","79,495","122,297","639,370","714,230","254,927","38,067","134,353","70,183","43,707","16,531","4,000","12,826","26,618","28,225","2,940","3,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,12,Copy Room,Copy Room,Salaries & Benefits,,,County Clerk,"19,368","20,279","21,468","22,982","24,782","26,282","27,482","28,442","30,333","31,608","31,608","33,516",0,0,0,0,0,0,"19,368","20,279","21,468","22,948","24,782","26,282","27,482","28,442","30,333","31,607","31,607","33,516",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,12,Copy Room,Copy Room,Office Supplies,,,County Clerk,"1,500","3,325","2,000","3,000","2,576","3,500","5,429","3,689","3,003","3,494","4,048","2,250","4,196","4,360","3,789","2,957","3,278","4,210","1,359","3,325","1,390","1,859","2,260","3,309","5,107","3,134","2,957","3,170","3,001","2,250","3,203","3,756","3,771","2,957","3,278","4,043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,12,Copy Room,Copy Room,Travel,,,County Clerk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,12,Copy Room,Copy Room,Machine Rent,,,County Clerk,"5,303","7,086","7,500","6,500","6,924","7,500","5,571","7,811","6,700","7,029","7,451","6,834","8,804","7,400","6,560","6,875","6,357","9,322","5,267","7,086","6,763","6,432","6,924","7,151","5,571","7,811","6,610","7,029","7,452","6,689","8,804","6,845","6,560","6,872","6,320","9,322",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,13,Tax Assessment & Collections,Tax Assessment & Collections,Office Supplies,,,County Treasurer,"13,047","14,402","26,496","25,420","17,215","17,000","15,000","28,369","28,369","33,251","28,000","28,000","18,662","21,000","7,146","29,755",837,"5,720","13,047","14,402","26,496","25,420","17,215","16,673","6,115","28,369","14,768","33,251","16,134","4,323","18,662","17,975","7,146","29,641",837,"5,720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,13,Tax Assessment & Collections,Tax Assessment & Collections,Postage,,,County Treasurer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,500","13,272",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,500","13,190",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,13,Tax Assessment & Collections,Tax Assessment & Collections,Printing,,,County Treasurer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,715","14,629",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,715","14,629",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,13,Tax Assessment & Collections,Tax Assessment & Collections,System Updates & Programming,,,County Treasurer,"7,000","8,000","1,504","8,000","8,000","8,000","25,000","8,000","6,000","3,249","6,000","6,000","1,419","6,000",0,0,0,0,"6,915","3,005",422,0,"3,086","2,919","24,050",858,"1,496","1,462",659,"1,500",500,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,13,Tax Assessment & Collections,Tax Assessment & Collections,Equipment ,,,County Treasurer,"3,000","27,000","42,000","32,580","34,498","47,000","24,000","29,001","1,001","15,500","14,556","3,121","5,419","6,000",600,650,0,"3,091","1,707","3,510","37,154","17,574","4,888","4,654","7,536","5,741",261,"6,948","8,755","1,530","4,617",654,600,650,0,"3,091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,13,Tax Assessment & Collections,Tax Assessment & Collections,Equipment Repair,,,County Treasurer,"14,000","13,000","13,000","17,000","23,287","11,000","19,000","17,630","17,630","19,000","22,443","33,879","22,500","23,800","52,123","55,907","51,270","54,065","10,213","9,005","7,185","13,370","23,287",961,"18,249","17,630","17,521","3,385","22,444","33,879","21,927","16,446","52,071","55,870","51,270","54,065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,13,Tax Assessment & Collections,Tax Assessment & Collections,Education & Training,,,County Treasurer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,055","1,200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,055","1,200",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,13,Tax Assessment & Collections,Tax Assessment & Collections,Miscellaneous,,,County Treasurer,"4,953","4,598","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","2,000","2,000","2,820",145,"2,677","4,224",374,150,"1,647",191,"2,605",0,300,0,"1,292","1,809",750,818,"1,141","1,330","2,820",142,"2,677","4,224",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,14,County Administration,County Administration,Salaries & Benefits,,,County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"27,000","52,000","65,420","80,427",0,0,,0,0,0,0,0,0,0,0,0,0,0,"27,759","51,391","65,420","78,865",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,14,County Administration,County Administration,Office Supplies & Postage,,,County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,821","3,000","1,627","1,079",0,0,,0,0,0,0,0,0,0,0,0,0,0,"2,821","2,297","1,627",502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,14,County Administration,County Administration,"Mileage, Dues, & Conventions",,,County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,050","1,050",65,700,0,0,,0,0,0,0,0,0,0,0,0,0,0,"1,050",151,65,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,14,County Administration,County Administration,Printing,,,County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,849,900,"1,467","1,500",0,0,,0,0,0,0,0,0,0,0,0,0,0,849,528,"1,467",650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,14,County Administration,County Administration,Telephone,,,County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,309","1,400","1,249","1,400",0,0,,0,0,0,0,0,0,0,0,0,0,0,"1,309","1,335","1,249","1,190",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,14,County Administration,County Administration,Equipment Repairs & Maintenance,,,County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,580","1,900","2,476","1,498",0,0,,0,0,0,0,0,0,0,0,0,0,0,"1,580","1,897","2,476","1,197",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,14,County Administration,County Administration,Miscellaneous,,,County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"32,525","5,400","33,370",594,0,0,,0,0,0,0,0,0,0,0,0,0,0,"24,125","1,069","33,370",594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,14,County Administration,County Administration,Appellate Assistant Service,,,County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"19,960","20,000","19,935","23,000",0,0,,0,0,0,0,0,0,0,0,0,0,0,"19,960","16,198","19,935","14,680",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,14,County Administration,County Administration,Insurance,,,County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"663,103","645,938","191,543","206,851",0,0,,0,0,0,0,0,0,0,0,0,0,0,"609,121","561,831","191,543","129,340",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,14,County Administration,County Administration,Audit,,,County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"26,798","26,800","26,300","26,300",0,0,,0,0,0,0,0,0,0,0,0,0,0,"26,798","26,659","26,300","28,125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,14,County Administration,County Administration,Care of Cemetery,,,County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,901,"1,000","1,000",0,0,,0,0,0,0,0,0,0,0,0,0,0,800,900,"1,000",500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,14,County Administration,County Administration,County Website Design,,,County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,250","1,301","1,800","1,800",0,0,,0,0,0,0,0,0,0,0,0,0,0,"1,250","1,300","1,800","1,470",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,14,County Administration,County Administration,Tourism Commission,,,County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,000","2,000","1,000","1,000",0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,000",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,14,County Administration,County Administration,West Central Planning,,,County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,536","9,536","9,536","10,000",0,0,,0,0,0,0,0,0,0,0,0,0,0,"9,536","9,536","9,536","9,536",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,14,County Administration,County Administration,Macoupin County Economic Development Partnership,,,County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"73,269","154,500","173,000","173,000",0,0,,0,0,0,0,0,0,0,0,0,0,0,"73,269","154,500","173,000","180,662",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,15,Transportaion (and Freight),Transportaion (and Freight),Miscellaneous,,,County Board Office,500,500,0,500,500,500,500,500,475,100,100,0,0,0,0,0,0,0,231,168,88,80,20,80,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,16,Contingency,Contingency,Miscellaneous,,,County Board Office,"39,212","57,019","35,433","49,543","156,567","19,248","7,927","21,475","13,959","1,237","2,198",0,0,0,0,0,0,0,"25,526","2,909","30,545","5,113",0,0,"7,828","27,210",374,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,17,Insurance,Insurance,Employee Health Insurance,,,County Board Office,"285,000","325,000","325,000","350,000","350,000","174,312","220,000","720,000","839,908","927,769","792,575","727,673","765,698","606,156",0,0,0,0,"276,628","296,359","322,283","336,313","358,242","304,129","235,687","712,585","800,600","790,075","715,950","695,012","548,386","488,266",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,17,Insurance,Insurance,Life Insurance,,,County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,"5,462","5,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,582","4,662",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,17,Insurance,Insurance,State Unemployment Insurance,,,County Board Office,"20,000","25,000","25,000","25,000","25,000",688,"15,000","15,000","12,017","15,460","17,424","17,800","28,072","27,844",0,0,0,0,"20,000","14,055","9,570","8,328","12,315",688,"13,271","12,195","12,017","15,281","17,424","17,800","28,072","27,844",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,17,Insurance,Insurance,Workers Compensation Insurance,,,County Board Office,"105,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"105,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,17,Insurance,Insurance,Public Liability,,,County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,17,Insurance,Insurance,Property,,,County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,17,Insurance,Insurance,Miscellaneous,,,County Board Office,0,0,0,0,0,0,0,0,0,0,0,527,"2,415","1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,"2,415",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,18,Matching Funds,Matching Funds,County Match to Highway,,,County Highway Engineer,0,0,"1,200",0,0,0,"1,200","1,200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,19,Real Estate Stamps,Real Estate Stamps,Office Supplies,,,County Clerk,0,0,0,0,0,0,0,0,0,0,0,0,0,"160,000","285,000","170,000","86,625","145,828",0,0,,0,0,0,0,0,0,0,0,0,0,"98,670","284,600","104,050","86,625","104,684",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,20,Archives,Archives,Miscellaneous,,,County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,845",0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,850",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,21,Sheriff,Sheriff,Salaries & Benefits,,,Sheriff,"1,334,922","1,458,060","1,572,325","1,570,625","1,519,702","1,613,947","1,663,004","1,868,575","1,993,951","2,123,423","2,072,181","2,152,592","2,124,450","2,097,250","2,040,661","1,964,184","2,284,777","2,451,488","1,334,922","1,458,060","1,572,325","1,559,929","1,519,730","1,613,947","1,663,110","1,868,549","1,993,297","2,108,554","2,072,174","2,149,715","2,117,869","2,096,986","2,045,169","1,964,184","2,282,277","2,451,422",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,21,Sheriff,Sheriff,Salary Reimbursed by Grant,,,Sheriff,0,0,0,0,"30,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,414",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,21,Sheriff,Sheriff,Salaries & Benefits Reimbursed by Drug Task Force,,,Sheriff,"21,021","22,000","22,000","34,000","34,000","34,000","34,000","36,750","36,290","44,640","54,135","54,135","56,141","55,018","48,416","45,995","50,174","51,198","21,021","17,850","26,748","28,316","30,303","31,310","33,679","36,783","36,424","44,602","50,592","49,261","46,399","48,362","48,416","40,214","48,890","50,988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,21,Sheriff,Sheriff,Retroactive Salaries,,,Sheriff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"467,774",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"467,774",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,21,Sheriff,Sheriff,Office Supplies,,,Sheriff,"28,428","27,070","32,701","44,139","34,602","33,000","27,764","38,682","34,047","14,824","10,936","26,800","47,079","47,456","45,966","34,529","38,343","24,912","28,428","27,070","27,672","44,139","34,602","30,388","28,738","38,627","34,047","14,158","10,936","26,583","47,079","47,456","45,966","34,529","38,343","24,912",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,21,Sheriff,Sheriff,Leads,,,Sheriff,0,0,0,0,0,0,0,0,0,0,0,0,"5,000","2,145",0,"2,590",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,145",0,"2,590",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,21,Sheriff,Sheriff,Travel,,,Sheriff,"1,660","2,126","2,322","3,134","3,000","4,000","1,383","2,535","3,000","3,000","1,532","1,513","3,000","3,000","2,682","2,352","1,998","3,775","1,660","2,126","2,322","3,134","2,038","2,391","1,383","2,535","2,596","1,662","1,533","1,513","1,738","2,866","2,432","2,352","1,998","3,775",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,21,Sheriff,Sheriff,Education & Training,,,Sheriff,"4,005","4,377","4,094","2,192","5,889","8,000","8,185","3,882","5,833","6,385","7,802","8,000","12,272","9,277","6,500","7,762","4,167","7,969","4,005","4,377","4,094","2,192","5,889","6,907","8,185","3,882","5,833","6,385","7,802","7,885","12,272","8,977","5,430","7,762","4,167","7,969",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,21,Sheriff,Sheriff,Lodging & Meals Conveying Prisoners,,,Sheriff,323,756,"3,111","2,722","4,000","4,000","1,036","5,460","4,000","4,000","1,587","2,300","9,206","2,000","2,000","3,327","2,999",203,323,670,"3,111","2,722","2,499","2,633","2,388","5,460","1,496","3,151","1,588","2,216","9,206","1,438","1,378","3,327","2,999",203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,21,Sheriff,Sheriff,Equipment Repair,,,Sheriff,"9,855","3,465","5,406","8,287","9,290","10,000","6,865","10,520","12,135","10,876","21,691","44,039","60,000","50,807","47,437","27,459","27,427","24,864","9,855","3,465","5,406","8,287","9,290","7,606","6,865","10,520","12,135","10,876","21,691","44,039","43,023","50,058","45,263","27,459","27,427","24,864",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,21,Sheriff,Sheriff,Vehicle Expense,,,Sheriff,"61,067","68,796","69,978","61,034","72,561","88,500","92,680","90,366","96,445","107,654","145,958","116,237","126,748","186,975","86,281","125,792","111,942","89,433","61,067","68,796","63,140","61,034","72,561","86,739","93,194","90,366","96,445","107,654","145,958","115,295","126,748","187,215","81,538","125,792","111,942","89,433",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,21,Sheriff,Sheriff,Insurance,,,Sheriff,"14,111","14,337","15,091","18,565","18,000","20,000","17,952","25,832","2,680","4,524","1,030",100,"2,682",575,"6,910","1,000","2,965",0,"14,111","14,337","15,091","18,565","14,905","17,969","17,952","25,832",172,"3,520","1,030",55,"2,682",575,"6,910","1,000","2,965",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,21,Sheriff,Sheriff,K-9,,,Sheriff,0,0,0,0,0,0,0,0,0,0,"1,268","1,200",878,"1,697","1,003",706,925,0,0,0,0,0,0,0,0,0,0,0,"1,268","1,164",828,"1,697",849,706,925,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,21,Sheriff,Sheriff,Telephone,,,Sheriff,0,0,0,0,0,0,0,0,0,"27,439","30,000","28,167","35,000","26,484","26,421","25,645","26,979","15,489",0,0,0,0,0,0,0,0,0,"27,439","27,247","28,167","29,606","26,484","26,215","25,645","26,979","15,489",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,21,Sheriff,Sheriff,Miscellaneous,,,Sheriff,741,705,728,607,"41,500",175,487,457,"1,446","26,055","10,229","2,144","2,193","1,500","1,336",0,580,0,741,705,728,607,"41,162",0,487,457,"1,446","26,055","10,229","2,144","1,804",0,"1,318",0,578,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,21,Sheriff,Sheriff,Equipment,,,Sheriff,"49,952","75,512","68,677","111,241","109,759","121,240","123,547","120,137","116,430","36,005","58,177","149,936","186,034","134,866","69,868","16,544","39,905","9,137","49,952","75,512","68,677","111,241","109,543","121,240","123,547","120,137","111,080","36,005","58,177","149,936","186,034","152,690","69,868","16,544","39,905","9,137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,21,Sheriff,Sheriff,Employee Uniforms,,,Sheriff,"19,584","18,100","18,518","21,236","21,276","23,303","22,628","23,070","22,000","22,000","23,010","25,000","25,000","18,091","18,553","17,381","18,854","14,606","19,584","17,436","18,518","21,236","21,276","23,303","22,628","23,070","21,653","21,817","22,459","24,614","21,662","18,091","18,553","17,381","18,854","14,606",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,21,Sheriff,Sheriff,Investigation Division Supplies,,,Sheriff,"1,520","2,276","2,844","2,566","3,000","5,160","2,859","4,408","5,000","5,000","1,985","1,070","3,000","3,000","2,000","1,592",391,386,"1,520","2,276","2,844","2,566","2,909","5,160","2,859","4,408","4,395","3,319","1,985","1,070","1,724","1,367","1,731","1,592",391,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
