Fund,Fund ID,Department ID,Department,Short Title,Expense Line,Link to Website,Department Description,Control Officer,Appropriations 1995,Appropriations 1996,Appropriations 1997,Appropriations 1998,Appropriations 1999,Appropriations 2000,Appropriations 2001,Appropriations 2002,Appropriations 2003,Appropriations 2004,Appropriations 2005,Appropriations 2006,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Appropriations 2013,Appropriations 2014,Expenditures 1995,Expenditures 1996,Expenditures 1997,Expenditures 1998,Expenditures 1999,Expenditures 2000,Expenditures 2001,Expenditures 2002,Expenditures 2003,Expenditures 2004,Expenditures 2005,Expenditures 2006,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012,,
General Fund,1,7,Elections,Elections,Election Setup & Rent,http://www.macoupinvotes.com/,"The line item, controlled by the County Clerk, funds all costs related to elections administered by the County Clerk.",County Clerk,10000,14766,13548,13671,12693,10000,15000,15000,5878,11000,15500,12200,5700,2840,2203,5000,5602,4804,3300,3170,7374,14766,13548,13671,12693,9641,12278,14105,5878,7792,9631,3765,4620,1730,2203,3870,5602,3509,3300,
General Fund,1,7,Elections,Elections,Publishing,http://www.macoupinvotes.com/,"The line item, controlled by the County Clerk, funds all costs related to elections administered by the County Clerk.",County Clerk,11854,20017,11490,18673,20774,21500,12892,15000,12628,13732,15000,13000,18500,12729,17333,15650,15043,12351,11185.97,8000,11854,20017,11490,18673,20774,21284,12892,11251,12628,9528,10301,8994,15773,12729,17333,15646,15043,12351,11185.97,
General Fund,1,7,Elections,Elections,Education/Training,http://www.macoupinvotes.com/,"The line item, controlled by the County Clerk, funds all costs related to elections administered by the County Clerk.",County Clerk,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,266,1199,265,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640,267,283,265,77,0,
General Fund,1,7,Elections,Elections,System Updates & Programming,http://www.macoupinvotes.com/,"The line item, controlled by the County Clerk, funds all costs related to elections administered by the County Clerk.",County Clerk,26966,24828,29698,26000,31593,20436,12358,23198,61047,32000,50000,56000,42000,57994,21980,51400,54709,62372,50178.23,50718,26646,24828,29697,25118,31582,20436,12358,20100,61047,14811,49839,54490,34056,57994,21980,51398,54709,62372,50178.23,
General Fund,1,7,Elections,Elections,Equipment Repair & Maintenance,http://www.macoupinvotes.com/,"The line item, controlled by the County Clerk, funds all costs related to elections administered by the County Clerk.",County Clerk,0,0,0,0,0,0,0,0,0,0,21200,25000,19700,26700,42707,33100,36377,32420,38006.31,38151,0,0,0,0,0,0,0,0,0,0,21066,15417,19322,26450,42707,33098,36377,31944,38006.31,
General Fund,1,7,Elections,Elections,Equipment,http://www.macoupinvotes.com/,"The line item, controlled by the County Clerk, funds all costs related to elections administered by the County Clerk.",County Clerk,0,860,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,0,0,860,0,849,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,
General Fund,1,7,Elections,Elections,Election Expense,http://www.macoupinvotes.com/,"The line item, controlled by the County Clerk, funds all costs related to elections administered by the County Clerk.",County Clerk,12000,12911,11177,10968,6006,12000,64293,15892,13172,30496,25499,42155,22100,21800,7989,11500,5532,10018,3317.35,1600,11601,12911,11177,10898,6006,11949,62978,15892,13150,27800,15950,15103,21481,18447,7989,10949,5532,8943,3317.35,
General Fund,1,7,Elections,Elections,Capital Outlay,http://www.macoupinvotes.com/,"The line item, controlled by the County Clerk, funds all costs related to elections administered by the County Clerk.",County Clerk,0,0,0,0,0,2317,675,8210,9700,293000,6230,12000,1500,3350,0,0,0,0,0,0,0,0,0,0,0,2317,675,1559,9700,254935,15778,0,0,3350,0,0,0,0,0,
General Fund,1,8,Supervisor of Assessments,Supervisor of Assessments,Salaries & Benefits,http://macoupincountyil.gov/assessment.htm,"The line item funds the operation of the Supervisor of Assessments office. The Supervisor's office meets with township assessors to supply  technical advice and information regarding current legislation and establishes guidelines for the assessors. In addition, the Supervisor of Assessments reviews assessments made by township assessors, equalizes assessments within the county and is responsible for publishing assessment change notices. Each year the Supervisor of Assessments delivers the assessment books to the Board of Review and prepares a tentative abstract of the assessment books for the Department of Revenue. The Supervisor of Assessments office also keeps track of all property transactions in the county, maps of all properties, exemptions and a history of all land owners.",Supervisor of Assessments,88764,94126,113940,117847,130328,135052,142818,137777,132760,129741,129741,129741,170905,169200,151671,136679,125332,116000,118170.34,102172,88764,90757,105647,117631,128658,132596,138650,135470,124179,121750,121337,118442,136964,152941,151670,136679,119959,111248,114775.84,
General Fund,1,8,Supervisor of Assessments,Supervisor of Assessments,Office Supplies,http://macoupincountyil.gov/assessment.htm,"The line item funds the operation of the Supervisor of Assessments office. The Supervisor's office meets with township assessors to supply  technical advice and information regarding current legislation and establishes guidelines for the assessors. In addition, the Supervisor of Assessments reviews assessments made by township assessors, equalizes assessments within the county and is responsible for publishing assessment change notices. Each year the Supervisor of Assessments delivers the assessment books to the Board of Review and prepares a tentative abstract of the assessment books for the Department of Revenue. The Supervisor of Assessments office also keeps track of all property transactions in the county, maps of all properties, exemptions and a history of all land owners.",Supervisor of Assessments,1830,1000,1000,1000,1034,1000,1000,1000,1000,1000,1000,1300,1300,1300,249,2185,1752,1800,1800,1800,1830,886,861,846,1034,292,657,410,557,805,298,451,1233,902,249,2185,925,1434,1268.92,
General Fund,1,8,Supervisor of Assessments,Supervisor of Assessments,Postage,http://macoupincountyil.gov/assessment.htm,"The line item funds the operation of the Supervisor of Assessments office. The Supervisor's office meets with township assessors to supply  technical advice and information regarding current legislation and establishes guidelines for the assessors. In addition, the Supervisor of Assessments reviews assessments made by township assessors, equalizes assessments within the county and is responsible for publishing assessment change notices. Each year the Supervisor of Assessments delivers the assessment books to the Board of Review and prepares a tentative abstract of the assessment books for the Department of Revenue. The Supervisor of Assessments office also keeps track of all property transactions in the county, maps of all properties, exemptions and a history of all land owners.",Supervisor of Assessments,9290,10000,10000,10000,8190,9000,6730,8000,8000,8000,8000,8000,10000,10000,6647,8820,9126,14435,14434.8,14440,9290,9510,9007,3967,7220,5235,868,1191,5037,948,1468,4652,8826,1183,6647,8820,9126,13621,13489.03,
General Fund,1,8,Supervisor of Assessments,Supervisor of Assessments,Travel,http://macoupincountyil.gov/assessment.htm,"The line item funds the operation of the Supervisor of Assessments office. The Supervisor's office meets with township assessors to supply  technical advice and information regarding current legislation and establishes guidelines for the assessors. In addition, the Supervisor of Assessments reviews assessments made by township assessors, equalizes assessments within the county and is responsible for publishing assessment change notices. Each year the Supervisor of Assessments delivers the assessment books to the Board of Review and prepares a tentative abstract of the assessment books for the Department of Revenue. The Supervisor of Assessments office also keeps track of all property transactions in the county, maps of all properties, exemptions and a history of all land owners.",Supervisor of Assessments,2114,3000,4000,4000,6000,6000,7000,6000,2981,6000,1600,6000,6295,8000,5290,3246,3672,6000,2595.98,6000,2114,2260,2596,2016,2344,1501,2965,2683,976,1022,1828,969,3282,2954,5290,3246,3672,4731,2595.98,
General Fund,1,8,Supervisor of Assessments,Supervisor of Assessments,Printing,http://macoupincountyil.gov/assessment.htm,"The line item funds the operation of the Supervisor of Assessments office. The Supervisor's office meets with township assessors to supply  technical advice and information regarding current legislation and establishes guidelines for the assessors. In addition, the Supervisor of Assessments reviews assessments made by township assessors, equalizes assessments within the county and is responsible for publishing assessment change notices. Each year the Supervisor of Assessments delivers the assessment books to the Board of Review and prepares a tentative abstract of the assessment books for the Department of Revenue. The Supervisor of Assessments office also keeps track of all property transactions in the county, maps of all properties, exemptions and a history of all land owners.",Supervisor of Assessments,18571,13123,17670,18000,18000,17000,16000,17000,17000,17000,17000,16000,16000,14678,13747,16237,17368,20000,19519.62,19988,18571,4147,10939,12074,11101,11152,11703,9860,12968,13287,12449,14892,15541,14678,13747,16237,14359,9727,16545.35,
General Fund,1,8,Supervisor of Assessments,Supervisor of Assessments,Education & Training,http://macoupincountyil.gov/assessment.htm,"The line item funds the operation of the Supervisor of Assessments office. The Supervisor's office meets with township assessors to supply  technical advice and information regarding current legislation and establishes guidelines for the assessors. In addition, the Supervisor of Assessments reviews assessments made by township assessors, equalizes assessments within the county and is responsible for publishing assessment change notices. Each year the Supervisor of Assessments delivers the assessment books to the Board of Review and prepares a tentative abstract of the assessment books for the Department of Revenue. The Supervisor of Assessments office also keeps track of all property transactions in the county, maps of all properties, exemptions and a history of all land owners.",Supervisor of Assessments,1304,3000,3021,3000,3000,3000,3000,3000,3000,3000,3000,3000,2910,42,630,1455,0,0,0,0,1304,959,3021,2255,1564,705,2122,1301,587,974,30,1800,725,20,630,1455,0,0,0,
General Fund,1,8,Supervisor of Assessments,Supervisor of Assessments,Telephone,http://macoupincountyil.gov/assessment.htm,"The line item funds the operation of the Supervisor of Assessments office. The Supervisor's office meets with township assessors to supply  technical advice and information regarding current legislation and establishes guidelines for the assessors. In addition, the Supervisor of Assessments reviews assessments made by township assessors, equalizes assessments within the county and is responsible for publishing assessment change notices. Each year the Supervisor of Assessments delivers the assessment books to the Board of Review and prepares a tentative abstract of the assessment books for the Department of Revenue. The Supervisor of Assessments office also keeps track of all property transactions in the county, maps of all properties, exemptions and a history of all land owners.",Supervisor of Assessments,1627,1800,2109,2739,2800,2800,2926,3800,3800,3800,3800,4403,4500,4500,2344,3373,3600,3600,3621.29,3600,1567,1301,2082,2739,2387,2604,2926,2908,2434,2264,2250,2031,2521,3061,2344,3373,3160,2921,3621.29,
General Fund,1,8,Supervisor of Assessments,Supervisor of Assessments,Miscellaneous,http://macoupincountyil.gov/assessment.htm,"The line item funds the operation of the Supervisor of Assessments office. The Supervisor's office meets with township assessors to supply  technical advice and information regarding current legislation and establishes guidelines for the assessors. In addition, the Supervisor of Assessments reviews assessments made by township assessors, equalizes assessments within the county and is responsible for publishing assessment change notices. Each year the Supervisor of Assessments delivers the assessment books to the Board of Review and prepares a tentative abstract of the assessment books for the Department of Revenue. The Supervisor of Assessments office also keeps track of all property transactions in the county, maps of all properties, exemptions and a history of all land owners.",Supervisor of Assessments,0,1000,0,6761,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0 ,0,0,6491,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,150,
General Fund,1,8,Supervisor of Assessments,Supervisor of Assessments,Equipment,http://macoupincountyil.gov/assessment.htm,"The line item funds the operation of the Supervisor of Assessments office. The Supervisor's office meets with township assessors to supply  technical advice and information regarding current legislation and establishes guidelines for the assessors. In addition, the Supervisor of Assessments reviews assessments made by township assessors, equalizes assessments within the county and is responsible for publishing assessment change notices. Each year the Supervisor of Assessments delivers the assessment books to the Board of Review and prepares a tentative abstract of the assessment books for the Department of Revenue. The Supervisor of Assessments office also keeps track of all property transactions in the county, maps of all properties, exemptions and a history of all land owners.",Supervisor of Assessments,0,0,0,0,0,2000,2000,2000,2000,2000,2000,2097,2090,2000,35,339,0,2000,3839.97,2000,0 ,0,0,0,0,1368,839,483,1548,810,1668,2097,2090,187,35,339,0,1848,3839.97,
General Fund,1,8,Supervisor of Assessments,Supervisor of Assessments,Equipment Repair & Maintenance,http://macoupincountyil.gov/assessment.htm,"The line item funds the operation of the Supervisor of Assessments office. The Supervisor's office meets with township assessors to supply  technical advice and information regarding current legislation and establishes guidelines for the assessors. In addition, the Supervisor of Assessments reviews assessments made by township assessors, equalizes assessments within the county and is responsible for publishing assessment change notices. Each year the Supervisor of Assessments delivers the assessment books to the Board of Review and prepares a tentative abstract of the assessment books for the Department of Revenue. The Supervisor of Assessments office also keeps track of all property transactions in the county, maps of all properties, exemptions and a history of all land owners.",Supervisor of Assessments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3941,2993,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3941,2993,0,297,0,
