Fund,Fund ID,Fund Description,Department,Short Title,Department ID,Control Officer,Link to Website,Department Description,Expense Line,Appropriations 1995,Appropriations 1996,Appropriations 1997,Appropriations 1998,Appropriations 1999,Appropriations 2000,Appropriations 2001,Appropriations 2002,Appropriations 2003,Appropriations 2004,Appropriations 2005,Appropriations 2006,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Appropriations 2013,Appropriations 2014,Expenditures 1995,Expenditures 1996,Expenditures 1997,Expenditures 1998,Expenditures 1999,Expenditures 2000,Expenditures 2001,Expenditures 2002,Expenditures 2003,Expenditures 2004,Expenditures 2005,Expenditures 2006,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012,Expenditures 2013
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",County Board,County Board,5,County Board Office,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board, which includes costs of per diem for full board meetings, committee meetings, and cost of mileage.",Committee Meetings & Mileage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35300,26275,27935,28735,22706.11,22060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28456,25546,27270,28735,22706.11
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",County Board,County Board,5,County Board Office,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board, which includes costs of per diem for full board meetings, committee meetings, and cost of mileage.",Travel,10450,10196,9950,10090,13310,11942,11642,10653,10942,10742,10800,10224,10797,11703,0,0,0,39,0,0,10255,9044,7543,7334,12128,9163,8275,10653,10514,9543,10801,10224,10797,11703,0,0,0,39,0
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",County Board,County Board,5,County Board Office,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board, which includes costs of per diem for full board meetings, committee meetings, and cost of mileage.",Printing,260,460,278,1720,1111,365,765,1054,900,1100,876,1032,1039,503,0,0,0,0,0,0,258,435,277,1720,1111,299,574,1054,695,1033,804,1032,938,503,0,0,0,0,0
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",County Board,County Board,5,County Board Office,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board, which includes costs of per diem for full board meetings, committee meetings, and cost of mileage.",Prescription Discounts,0,0,0,0,0,0,0,0,1500,1500,185,27,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003,312,150,27,11,0,0,0,0,0,0
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",County Board,County Board,5,County Board Office,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board, which includes costs of per diem for full board meetings, committee meetings, and cost of mileage.",Equipment Repair,0,0,0,0,0,0,0,0,3878,2500,552,323,1200,2071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2972,2047,532,323,1076,2071,0,0,0,0,0
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",County Board,County Board,5,County Board Office,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board, which includes costs of per diem for full board meetings, committee meetings, and cost of mileage.",Miscellaneous,0,0,0,0,0,0,0,0,0,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,0,0,0,0,0,0,0,0
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",County Board,County Board,5,County Board Office,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board, which includes costs of per diem for full board meetings, committee meetings, and cost of mileage.",Telephone,1350,1350,1650,1331,1350,1650,2150,1053,2889,2150,2173,2158,2300,1558,0,0,0,0,0,0,1285,1256,1357,1185,1097,1194,1511,1053,2744,1935,2173,2158,2148,1549,0,0,0,0,0
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",Courthouse,Courthouse,6,Sheriff,,"The line item, under the control of the Sheriff, funds the general daily maintenance of the County Courthouse, primarily covering day to day upkeep of the building and related utility bills for the building.",Supplies,7410,10371,7945,9508,3950,8754,4538,8953,3124,2663,3373,2707,5080,6720,4342,5230,7967,23,4000,4000,7410,10355,7027,6009,3950,8754,4538,4680,3124,2663,3373,2707,5080,6720,4342,5230,7967,23,4000
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",Courthouse,Courthouse,6,Sheriff,,"The line item, under the control of the Sheriff, funds the general daily maintenance of the County Courthouse, primarily covering day to day upkeep of the building and related utility bills for the building.",Telephone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,957.87,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,957.87
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",Courthouse,Courthouse,6,Sheriff,,"The line item, under the control of the Sheriff, funds the general daily maintenance of the County Courthouse, primarily covering day to day upkeep of the building and related utility bills for the building.",Utilities,24359,36000,34449,36830,30055,38876,44320,48440,43138,45734,48368,49599,52500,63558,54779,58204,58028,44746,957.87,44000,24359,32011,33524,36830,30055,38876,44320,48440,43138,45734,48369,49598,48545,63558,54779,57185,58028,44746,957.87
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",Courthouse,Courthouse,6,Sheriff,,"The line item, under the control of the Sheriff, funds the general daily maintenance of the County Courthouse, primarily covering day to day upkeep of the building and related utility bills for the building.",Equipment Repair,35277,20416,21581,24162,43342,33669,19536,34000,19600,16664,13287,18894,34061,48918,52858,48341,42110,6664,5381.45,6000,35277,20416,21581,24162,43342,33669,19536,32182,19600,16664,13288,18894,34061,48856,52858,48341,42110,6664,5380.86
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",Courthouse,Courthouse,6,Sheriff,,"The line item, under the control of the Sheriff, funds the general daily maintenance of the County Courthouse, primarily covering day to day upkeep of the building and related utility bills for the building.",Equipment,625,713,0,3000,153,3000,235,3000,538,940,470,0,0,0,0,200,0,0,439.64,500,625,713,0,0,0,0,235,0,538,940,470,0,0,0,0,168,0,0,439.64
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",Courthouse,Courthouse,6,Sheriff,,"The line item, under the control of the Sheriff, funds the general daily maintenance of the County Courthouse, primarily covering day to day upkeep of the building and related utility bills for the building.",Building Repair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30741,19794,28571.53,27500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30741,19794,28571.53
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",Courthouse,Courthouse,6,Sheriff,,"The line item, under the control of the Sheriff, funds the general daily maintenance of the County Courthouse, primarily covering day to day upkeep of the building and related utility bills for the building.",Capital Outlay,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
